id,title,authors,venue,year,type,link
88,"Analyzing and understanding the impact of interconnect performance on HPC, Big Data, and deep learning applications","A Ruhela; S Xu; KV Manian; H Subramoni; DK Panda","IPDPS 2020",2020,Conferences & Workshops,https://www.researchgate.net/profile/Amit-Ruhela-2/publication/343269790
89,"Efficient training of semantic image segmentation on summit using horovod and mvapich2-gdr","Q Anthony; AA Awan; A Jain; H Subramoni; DK Panda","IPDPS 2020",2020,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10198158
90,"EReinit: Scalable and efficient fault-tolerance for bulk-synchronous MPI applications","S Chakraborty; I Laguna; M Emani; K Mohror; DK Panda; M Schulz; H Subramoni","Concurrency and Computation: Practice and Experience 32 (3)",2020,Journal,https://www.osti.gov/servlets/purl/1708993
91,"High-performance adaptive MPI derived datatype communication for modern Multi-GPU systems","CH Chu; JM Hashmi; KS Khorassani; H Subramoni; DK Panda","HiPC 2019",2019,Conferences & Workshops,
92,"Designing a profiling and visualization tool for scalable and in-depth analysis of high-performance GPU clusters","P Kousha; B Ramesh; KK Suresh; CH Chu; A Jain; N Sarkauskas; H Subramoni; DK Panda","HiPC 2019",2019,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10197588
93,"Leveraging network-level parallelism with multiple process-endpoints for mpi broadcast","A Ruhela; B Ramesh; S Chakraborty; H Subramoni; J Hashmi; D Panda","Workshop on Emerging Parallel and Distributed",2019,Conferences & Workshops,https://drive.google.com/file/d/1mb8TJI3HNyQoUTZxe486CcQspdks_ziV/view
94,"OMB-UM: Design, implementation, and evaluation of CUDA unified memory aware MPI benchmarks","KV Manian; CH Chu; AA Awan; KS Khorassani; H Subramoni; DK Panda","PMBS 2019",2019,Conferences & Workshops,https://sc19.supercomputing.org/proceedings/workshops/workshop_files/ws_pmbsf116s2-file1.pdf
95,"Hypar-flow: Exploiting mpi and keras for scalable hybrid-parallel dnn training using tensorflow","AA Awan; A Jain; Q Anthony; H Subramoni; DK Panda","arXiv preprint",2019,Technical Reports,https://arxiv.org/pdf/1911.05146
96,"Communication profiling and characterization of deep-learning workloads","AA Awan; A Jain; CH Chu; H Subramoni; DK Panda","IEEE Micro 40 (1)",2019,Journal,
97,"Performance characterization of dnn training using tensorflow and pytorch on modern clusters","A Jain; AA Awan; Q Anthony; H Subramoni; DK Panda","2019 IEEE International Conference on Cluster Computing (CLUSTER)",2019,Conferences & Workshops,https://nowlab.cse.ohio-state.edu/static/media/talks/slide/Arpan_booth_talk_2.pdf
98,"Designing scalable and high-performance MPI libraries on Amazon elastic fabric adapter","S Chakraborty; S Xu; H Subramoni; D Panda","2019 IEEE Symposium on High-Performance Interconnects (HOTI)",2019,Conferences & Workshops,https://pdfs.semanticscholar.org/07f4/0e3f05b00225e51f5b8abcdf5260269d2df9.pdf
99,"Optimized large-message broadcast for deep learning workloads: MPI, MPI+ NCCL, or NCCL2?","AA Awan; KV Manian; CH Chu; H Subramoni; DK Panda","Parallel Computing 85",2019,Journal,https://www.sciencedirect.com/science/article/am/pii/S0167819118303284
100,"Efficient design for MPI asynchronous progress without dedicated resources","A Ruhela; H Subramoni; S Chakraborty; M Bayatpour; P Kousha; DK Panda","Parallel Computing 85",2019,Journal,https://www.sciencedirect.com/science/article/am/pii/S0167819118303302
101,"Falcon: Efficient designs for zero-copy mpi datatype processing on emerging architectures","JM Hashmi; S Chakraborty; M Bayatpour; H Subramoni; DK Panda","IPDPS 2019",2019,Conferences & Workshops,https://jahanzeb-hashmi.github.io/files/talks/ipdps19.pdf
102,"Design and characterization of shared address space mpi collectives on modern architectures","JM Hashmi; S Chakraborty; M Bayatpour; H Subramoni; DK Panda","CCGrid 2019",2019,Conferences & Workshops,https://jahanzeb-hashmi.github.io/files/talks/ccgrid19.pdf
103,"Scalable distributed dnn training using tensorflow and cuda-aware mpi","AA Awan; J Bedorf; CH Chu; H Subramoni; DK Panda","CCGrid 2019",2019,Conferences & Workshops,https://arxiv.org/pdf/1810.11112
104,"High performance distributed deep learning: a beginner's guide","DK Panda; AA Awan; H Subramoni","PPoPP 2019",2019,Conferences & Workshops,https://dl.acm.org/doi/pdf/10.1145/3293883.3302260
105,"Networking and communication challenges for post-exascale systems","D Panda; XY Lu; H Subramoni","Frontiers of Information Technology & Electronic Engineering 19 (10)",2018,Journal,https://ieeexplore.ieee.org/iel8/11185073/11285201/11293163.pdf
106,"Multi-Threading and Lock-Free MPI RMA Based Graph Processing on KNL and POWER Architectures","M Li; X Lu; H Subramoni; DK Panda","EuroMPI 2018",2018,Conferences & Workshops,https://dl.acm.org/doi/pdf/10.1145/3236367.3236371
107,"Efficient asynchronous communication progress for MPI without dedicated resources","A Ruhela; H Subramoni; S Chakraborty; M Bayatpour; P Kousha; DK Panda","EuroMPI 2018",2018,Conferences & Workshops,https://dl.acm.org/doi/pdf/10.1145/3236367.3236376
108,"Salar: Scalable and adaptive designs for large message reduction collectives","M Bayatpour; JM Hashmi; S Chakraborty; H Subramoni; P Kousha; DK Panda","2018 IEEE International Conference on Cluster Computing (CLUSTER)",2018,Conferences & Workshops,https://drive.google.com/file/d/164y1ktRIfQ774T2KENkoyh7PzhqxbyIW/view
109,"Exploiting hardware multicast and GPUDirect RDMA for efficient broadcast","CH Chu; X Lu; AA Awan; H Subramoni; B Elton; DK Panda","IEEE Transactions on Parallel and Distributed Systems 30 (3)",2018,Journal,https://ieeexplore.ieee.org/ielaam/71/8640283/8447246-aam.pdf
110,"Scalable reduction collectives with data partitioning-based multi-leader design","M Bayatpour; S Chakraborty; H Subramoni; X Lu; DK Panda","SC17",2017,Conferences & Workshops,https://dl.acm.org/doi/pdf/10.1145/3126908.3126954
111,"A scalable network-based performance analysis tool for MPI on large-scale HPC systems","H Subramoni; X Lu; DK Panda","2017 IEEE International Conference on Cluster Computing (CLUSTER)",2017,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10063349
112,"Contention-aware kernel-assisted MPI collectives for multi-/many-core systems","S Chakraborty; H Subramoni; DK Panda","2017 IEEE International Conference on Cluster Computing (CLUSTER)",2017,Conferences & Workshops,https://souravc.com/assets/papers/cluster_17.pdf
113,"Efficient and scalable multi-source streaming broadcast on GPU clusters for deep learning","CH Chu; X Lu; AA Awan; H Subramoni; J Hashmi; B Elton; DK Panda","ICPP 2017",2017,Conferences & Workshops,https://pdfs.semanticscholar.org/7f93/f814459f18008ab8521c447d024ffab5c6a9.pdf
114,"Designing dynamic and adaptive MPI point-to-point communication protocols","H Subramoni; S Chakraborty; DK Panda","International Conference on High Performance Computing",2017,Conferences & Workshops,https://souravc.com/assets/papers/isc_17.pdf
115,"System-level scalable checkpoint-restart for petascale computing","J Cao; K Arya; R Garg; S Matott; DK Panda; H Subramoni; J Vienne; G Cooperman","ICPADS 2016",2016,Conferences & Workshops,https://arxiv.org/pdf/1607.07995
116,"Designing mpi library with on-demand paging (odp) of infiniband","M Li; K Hamidouche; X Lu; H Subramoni; J Zhang; DK Panda","SC'16",2016,Conferences & Workshops,https://hibd.cse.ohio-state.edu/static/media/talks/slide/SC_16.pdf
117,"INAM2: InfiniBand network analysis and monitoring with MPI","H Subramoni; AM Augustine; M Arnold; J Perkins; X Lu; K Hamidouche; DK Panda","International Conference on High Performance Computing",2016,Conferences & Workshops,https://mvapich.cse.ohio-state.edu/static/media/publications/abstract/subramoni-isc16-inam.pdf
118,"Exploiting maximal overlap for non-contiguous data movement processing","CH Chu; K Hamidouche; A Venkatesh; DS Banerjee; H Subramoni; DK Panda","IPDPS 2016",2016,Conferences & Workshops,https://pdfs.semanticscholar.org/36ba/33bbfe687ee2d6112e80507fd99c0e534449.pdf
119,"SHMEMPMI-Shared memory based PMI for improved performance and scalability","S Chakraborty; H Subramoni; J Perkins; DK Panda","CCGrid 2016",2016,Conferences & Workshops,https://souravc.com/assets/papers/ccgrid_16.pdf
120,"Instance segmentation in remote sensing imagery using deep convolutional neural networks","Anirudh Potlapally; Potluri Sai Rohit Chowdary; SS Raja Shekhar; Nitin Mishra; Chella Sri Venkata Divya Madhuri; AVV Prasad","2019 International Conference on contemporary Computing and Informatics (IC3I)",2019,Conferences & Workshops,https://ieeexplore.ieee.org/document/9046645
121,"WoundNet: A Domain-Adaptable Few-Shot Classification Framework for Wound Healing Assessment","Anirudh Potlapally; Shubham Mahajan; Michael Briden; Harrison Shawa; Andrea Medina Lopez; Daniel Yoon; Amir Mazaheri; Hsinya Yang; Sara Dahle; Roslyn Isseroff; Narges Norouzi","2023 IEEE 20th International Symposium on Biomedical Imaging (ISBI)",2023,Conferences & Workshops,https://ieeexplore.ieee.org/document/10124657
